bib,name,status,category,sex,country,Hell-Bourg,Merles,Sen. Scout,Aurère,Deux Bras,Dos d'Ane,Ratinaud,Possession,Chaloupe,Colorado,La Vigie,St Denis
3560,Patrice CHAN SEEM,FINISHER,M1 H,MALE,MU,2025-10-17T00:59:59.000+04:00,2025-10-17T03:12:29.000+04:00,2025-10-17T03:28:57.000+04:00,2025-10-17T04:38:39.000+04:00,2025-10-17T05:26:27.000+04:00,2025-10-17T06:40:15.000+04:00,2025-10-17T06:58:34.000+04:00,2025-10-17T08:07:43.000+04:00,2025-10-17T09:14:07.000+04:00,2025-10-17T10:52:24.000+04:00,2025-10-17T11:16:06.000+04:00,2025-10-17T11:39:13.000+04:00
3681,Reshad BOBATE,FINISHER,M1 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:09:54.000+04:00,2025-10-17T03:26:40.000+04:00,2025-10-17T04:41:25.000+04:00,2025-10-17T05:31:44.000+04:00,2025-10-17T06:38:42.000+04:00,2025-10-17T07:00:39.000+04:00,2025-10-17T08:11:52.000+04:00,2025-10-17T09:23:31.000+04:00,2025-10-17T10:53:57.000+04:00,2025-10-17T11:19:30.000+04:00,2025-10-17T11:42:34.000+04:00
3540,Antonin BOERI,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:11:52.000+04:00,2025-10-17T03:30:01.000+04:00,2025-10-17T04:45:12.000+04:00,2025-10-17T05:35:26.000+04:00,2025-10-17T06:45:12.000+04:00,2025-10-17T07:05:22.000+04:00,2025-10-17T08:14:05.000+04:00,2025-10-17T09:18:07.000+04:00,2025-10-17T10:50:32.000+04:00,2025-10-17T11:17:50.000+04:00,2025-10-17T11:43:18.000+04:00
3142,Benjamin BRULIN,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:04:31.000+04:00,2025-10-17T03:20:07.000+04:00,2025-10-17T04:29:39.000+04:00,2025-10-17T05:17:35.000+04:00,2025-10-17T06:25:38.000+04:00,2025-10-17T06:45:19.000+04:00,2025-10-17T08:05:41.000+04:00,2025-10-17T09:13:09.000+04:00,2025-10-17T10:52:45.000+04:00,2025-10-17T11:20:07.000+04:00,2025-10-17T11:46:04.000+04:00
4073,Maëlys DEVOS,FINISHER,SE F,FEMALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:13:03.000+04:00,2025-10-17T03:28:52.000+04:00,2025-10-17T04:41:54.000+04:00,2025-10-17T05:33:42.000+04:00,2025-10-17T06:44:09.000+04:00,2025-10-17T07:05:19.000+04:00,2025-10-17T08:18:19.000+04:00,2025-10-17T09:21:57.000+04:00,2025-10-17T10:54:07.000+04:00,2025-10-17T11:21:03.000+04:00,2025-10-17T11:49:05.000+04:00
3695,Baptiste ELISSALDE,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:07:08.000+04:00,2025-10-17T03:22:57.000+04:00,2025-10-17T04:34:41.000+04:00,2025-10-17T05:26:11.000+04:00,2025-10-17T06:41:11.000+04:00,2025-10-17T07:01:32.000+04:00,2025-10-17T08:14:47.000+04:00,2025-10-17T09:21:50.000+04:00,2025-10-17T10:55:05.000+04:00,2025-10-17T11:25:21.000+04:00,2025-10-17T11:49:34.000+04:00
4357,Amaury COUTANCE,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:03:26.000+04:00,2025-10-17T03:19:11.000+04:00,2025-10-17T04:30:33.000+04:00,2025-10-17T05:22:26.000+04:00,2025-10-17T06:35:24.000+04:00,2025-10-17T06:57:10.000+04:00,2025-10-17T08:15:13.000+04:00,2025-10-17T09:21:20.000+04:00,2025-10-17T11:04:02.000+04:00,2025-10-17T11:31:04.000+04:00,2025-10-17T11:55:14.000+04:00
4094,Morgane LEFEUVRE,FINISHER,SE F,FEMALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:19:50.000+04:00,2025-10-17T03:37:16.000+04:00,2025-10-17T04:50:10.000+04:00,2025-10-17T05:41:41.000+04:00,2025-10-17T06:53:58.000+04:00,2025-10-17T07:13:06.000+04:00,2025-10-17T08:23:39.000+04:00,2025-10-17T09:32:00.000+04:00,2025-10-17T11:07:16.000+04:00,2025-10-17T11:32:20.000+04:00,2025-10-17T11:56:45.000+04:00
3436,Marine SECHET,FINISHER,SE F,FEMALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:25:44.000+04:00,2025-10-17T03:43:34.000+04:00,2025-10-17T05:01:33.000+04:00,2025-10-17T05:52:28.000+04:00,2025-10-17T07:00:53.000+04:00,2025-10-17T07:21:41.000+04:00,2025-10-17T08:33:30.000+04:00,2025-10-17T09:35:23.000+04:00,2025-10-17T11:07:15.000+04:00,2025-10-17T11:32:19.000+04:00,2025-10-17T11:56:46.000+04:00
4301,Robin LECOCQ,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:02:29.000+04:00,2025-10-17T03:17:47.000+04:00,2025-10-17T04:25:34.000+04:00,2025-10-17T05:17:36.000+04:00,2025-10-17T06:34:34.000+04:00,2025-10-17T06:54:45.000+04:00,2025-10-17T08:10:57.000+04:00,2025-10-17T09:20:33.000+04:00,2025-10-17T11:07:25.000+04:00,2025-10-17T11:35:00.000+04:00,2025-10-17T11:58:43.000+04:00
3484,Christopher DAMPNE,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:06:53.000+04:00,2025-10-17T03:24:04.000+04:00,2025-10-17T04:35:06.000+04:00,2025-10-17T05:25:57.000+04:00,2025-10-17T06:41:25.000+04:00,2025-10-17T07:01:01.000+04:00,2025-10-17T08:16:48.000+04:00,2025-10-17T09:27:24.000+04:00,2025-10-17T11:11:05.000+04:00,2025-10-17T11:41:05.000+04:00,2025-10-17T12:05:49.000+04:00
4390,Florian MURGUE,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:11:35.000+04:00,2025-10-17T03:28:59.000+04:00,2025-10-17T04:37:30.000+04:00,2025-10-17T05:28:05.000+04:00,2025-10-17T06:40:14.000+04:00,2025-10-17T06:58:33.000+04:00,2025-10-17T08:15:40.000+04:00,2025-10-17T09:29:44.000+04:00,2025-10-17T11:13:28.000+04:00,2025-10-17T11:44:20.000+04:00,2025-10-17T12:06:18.000+04:00
4470,Joachim Tezy THOMAS,FINISHER,M0 H,MALE,MU,2025-10-17T01:09:59.000+04:00,2025-10-17T03:30:03.000+04:00,2025-10-17T03:46:58.000+04:00,2025-10-17T04:59:52.000+04:00,2025-10-17T05:47:28.000+04:00,2025-10-17T06:58:45.000+04:00,2025-10-17T07:16:52.000+04:00,2025-10-17T08:28:19.000+04:00,2025-10-17T09:37:29.000+04:00,2025-10-17T11:18:00.000+04:00,2025-10-17T11:44:33.000+04:00,2025-10-17T12:06:29.000+04:00
3242,Mathis FLAMANT,FINISHER,ES H,MALE,FR,2025-10-17T01:09:59.000+04:00,2025-10-17T03:32:31.000+04:00,2025-10-17T03:55:59.000+04:00,2025-10-17T05:09:31.000+04:00,2025-10-17T05:52:02.000+04:00,2025-10-17T07:00:38.000+04:00,2025-10-17T07:16:49.000+04:00,2025-10-17T08:21:48.000+04:00,2025-10-17T09:32:14.000+04:00,2025-10-17T11:17:09.000+04:00,2025-10-17T11:41:06.000+04:00,2025-10-17T12:07:40.000+04:00
3518,Jean-Luc BÈGUE,FINISHER,M2 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:19:54.000+04:00,2025-10-17T03:39:43.000+04:00,2025-10-17T04:52:02.000+04:00,2025-10-17T05:43:16.000+04:00,2025-10-17T06:55:09.000+04:00,2025-10-17T07:14:55.000+04:00,2025-10-17T08:19:15.000+04:00,2025-10-17T09:29:14.000+04:00,2025-10-17T11:14:12.000+04:00,2025-10-17T11:43:44.000+04:00,2025-10-17T12:07:48.000+04:00
3816,Jonathan LEBON,FINISHER,M0 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:05:20.000+04:00,2025-10-17T03:19:48.000+04:00,2025-10-17T04:29:18.000+04:00,2025-10-17T05:20:16.000+04:00,2025-10-17T06:35:07.000+04:00,2025-10-17T06:53:47.000+04:00,2025-10-17T08:01:20.000+04:00,2025-10-17T09:16:01.000+04:00,2025-10-17T11:14:50.000+04:00,2025-10-17T11:44:11.000+04:00,2025-10-17T12:09:16.000+04:00
4124,Kény LASAONE,FINISHER,ES H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:09:56.000+04:00,2025-10-17T03:29:34.000+04:00,2025-10-17T04:44:58.000+04:00,2025-10-17T05:41:15.000+04:00,2025-10-17T07:02:07.000+04:00,2025-10-17T07:21:15.000+04:00,2025-10-17T08:24:26.000+04:00,2025-10-17T09:33:01.000+04:00,2025-10-17T11:23:03.000+04:00,2025-10-17T11:49:34.000+04:00,2025-10-17T12:09:32.000+04:00
4416,Kévin DE CASTRO,FINISHER,SE H,MALE,FR,2025-10-17T01:09:59.000+04:00,2025-10-17T03:29:16.000+04:00,2025-10-17T03:50:00.000+04:00,2025-10-17T05:03:29.000+04:00,2025-10-17T05:50:50.000+04:00,2025-10-17T07:02:24.000+04:00,2025-10-17T07:23:31.000+04:00,2025-10-17T08:29:04.000+04:00,2025-10-17T09:33:52.000+04:00,2025-10-17T11:18:02.000+04:00,2025-10-17T11:44:41.000+04:00,2025-10-17T12:10:13.000+04:00
3680,Joffrey DEMARAIS,FINISHER,M1 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:08:58.000+04:00,2025-10-17T03:24:51.000+04:00,2025-10-17T04:35:07.000+04:00,2025-10-17T05:27:05.000+04:00,2025-10-17T06:42:41.000+04:00,2025-10-17T07:04:16.000+04:00,2025-10-17T08:22:27.000+04:00,2025-10-17T09:30:32.000+04:00,2025-10-17T11:16:17.000+04:00,2025-10-17T11:44:10.000+04:00,2025-10-17T12:11:18.000+04:00
4004,Morgane SATGE,FINISHER,M0 F,FEMALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:08:38.000+04:00,2025-10-17T03:24:25.000+04:00,2025-10-17T04:38:45.000+04:00,2025-10-17T05:30:50.000+04:00,2025-10-17T06:42:43.000+04:00,2025-10-17T07:04:18.000+04:00,2025-10-17T08:16:07.000+04:00,2025-10-17T09:27:20.000+04:00,2025-10-17T11:11:50.000+04:00,2025-10-17T11:42:10.000+04:00,2025-10-17T12:11:29.000+04:00
3459,Martin DELEU,FINISHER,M1 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:07:12.000+04:00,2025-10-17T03:23:53.000+04:00,2025-10-17T04:37:40.000+04:00,2025-10-17T05:29:42.000+04:00,2025-10-17T06:43:30.000+04:00,2025-10-17T07:05:28.000+04:00,2025-10-17T08:30:01.000+04:00,2025-10-17T09:30:44.000+04:00,2025-10-17T11:18:37.000+04:00,2025-10-17T11:49:04.000+04:00,2025-10-17T12:14:25.000+04:00
3415,Corentin LOUIS,FINISHER,M0 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:24:39.000+04:00,2025-10-17T03:43:34.000+04:00,2025-10-17T04:59:12.000+04:00,2025-10-17T05:48:10.000+04:00,2025-10-17T06:59:39.000+04:00,2025-10-17T07:19:35.000+04:00,2025-10-17T08:36:34.000+04:00,2025-10-17T09:47:37.000+04:00,2025-10-17T11:24:41.000+04:00,2025-10-17T11:50:01.000+04:00,2025-10-17T12:14:39.000+04:00
3403,Alexandre BERNARD,FINISHER,M0 H,MALE,FR,2025-10-17T01:09:59.000+04:00,2025-10-17T03:23:41.000+04:00,2025-10-17T03:40:41.000+04:00,2025-10-17T04:51:07.000+04:00,2025-10-17T05:36:58.000+04:00,2025-10-17T06:43:40.000+04:00,2025-10-17T07:02:55.000+04:00,2025-10-17T08:12:24.000+04:00,2025-10-17T09:21:27.000+04:00,2025-10-17T11:12:51.000+04:00,2025-10-17T11:46:22.000+04:00,2025-10-17T12:15:07.000+04:00
3294,Guillaume FELT,FINISHER,M0 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:20:29.000+04:00,2025-10-17T03:39:45.000+04:00,2025-10-17T05:05:29.000+04:00,2025-10-17T05:57:33.000+04:00,2025-10-17T07:07:38.000+04:00,2025-10-17T07:27:34.000+04:00,2025-10-17T08:44:00.000+04:00,2025-10-17T09:54:24.000+04:00,2025-10-17T11:33:08.000+04:00,2025-10-17T11:56:21.000+04:00,2025-10-17T12:17:28.000+04:00
3507,Claire JACQUET,FINISHER,M0 F,FEMALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:24:46.000+04:00,2025-10-17T03:40:40.000+04:00,2025-10-17T05:00:11.000+04:00,2025-10-17T05:50:46.000+04:00,2025-10-17T07:00:48.000+04:00,2025-10-17T07:21:39.000+04:00,2025-10-17T08:42:11.000+04:00,2025-10-17T09:50:22.000+04:00,2025-10-17T11:25:51.000+04:00,2025-10-17T11:55:26.000+04:00,2025-10-17T12:18:05.000+04:00
3900,Nathan ESTÈVE,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:14:50.000+04:00,2025-10-17T03:33:52.000+04:00,2025-10-17T04:46:34.000+04:00,2025-10-17T05:36:17.000+04:00,2025-10-17T06:55:07.000+04:00,2025-10-17T07:15:35.000+04:00,2025-10-17T08:46:50.000+04:00,2025-10-17T10:01:28.000+04:00,2025-10-17T11:37:22.000+04:00,2025-10-17T12:03:55.000+04:00,2025-10-17T12:25:03.000+04:00
4147,Charles MOTTE,FINISHER,SE H,MALE,FR,2025-10-17T01:09:59.000+04:00,2025-10-17T03:23:56.000+04:00,2025-10-17T03:40:12.000+04:00,2025-10-17T04:51:26.000+04:00,2025-10-17T05:41:21.000+04:00,2025-10-17T06:56:32.000+04:00,2025-10-17T07:19:18.000+04:00,2025-10-17T08:28:40.000+04:00,2025-10-17T09:46:34.000+04:00,2025-10-17T11:33:39.000+04:00,2025-10-17T11:58:42.000+04:00,2025-10-17T12:25:36.000+04:00
4129,Rafael PEREZ,FINISHER,M0 H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:17:41.000+04:00,2025-10-17T03:35:22.000+04:00,2025-10-17T04:47:53.000+04:00,2025-10-17T05:37:40.000+04:00,2025-10-17T06:51:16.000+04:00,2025-10-17T07:13:50.000+04:00,2025-10-17T08:26:43.000+04:00,2025-10-17T09:35:17.000+04:00,2025-10-17T11:30:39.000+04:00,2025-10-17T11:58:33.000+04:00,2025-10-17T12:26:18.000+04:00
4251,Kevin ARCIDIACO,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:18:59.000+04:00,2025-10-17T03:34:17.000+04:00,2025-10-17T04:49:34.000+04:00,2025-10-17T05:38:14.000+04:00,2025-10-17T06:55:23.000+04:00,2025-10-17T07:17:53.000+04:00,2025-10-17T08:42:38.000+04:00,2025-10-17T09:49:35.000+04:00,2025-10-17T11:31:46.000+04:00,2025-10-17T12:00:20.000+04:00,2025-10-17T12:26:42.000+04:00
4365,Chloé MERIEL,FINISHER,SE F,FEMALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:15:23.000+04:00,2025-10-17T03:32:50.000+04:00,2025-10-17T04:51:22.000+04:00,2025-10-17T05:46:07.000+04:00,2025-10-17T06:58:39.000+04:00,2025-10-17T07:19:28.000+04:00,2025-10-17T08:38:14.000+04:00,2025-10-17T09:49:54.000+04:00,2025-10-17T11:33:33.000+04:00,2025-10-17T12:01:45.000+04:00,2025-10-17T12:27:07.000+04:00
3889,Rémi TRIMOUILLE,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:11:05.000+04:00,2025-10-17T03:29:25.000+04:00,2025-10-17T04:42:32.000+04:00,2025-10-17T05:34:31.000+04:00,2025-10-17T06:50:29.000+04:00,2025-10-17T07:11:32.000+04:00,2025-10-17T08:20:55.000+04:00,2025-10-17T09:47:04.000+04:00,2025-10-17T11:30:51.000+04:00,2025-10-17T11:59:52.000+04:00,2025-10-17T12:27:28.000+04:00
3069,Corentin FOURNI,FINISHER,SE H,MALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T02:58:03.000+04:00,2025-10-17T03:12:09.000+04:00,2025-10-17T04:19:29.000+04:00,2025-10-17T05:06:44.000+04:00,2025-10-17T06:25:19.000+04:00,2025-10-17T06:48:09.000+04:00,2025-10-17T07:49:39.000+04:00,2025-10-17T08:56:33.000+04:00,2025-10-17T11:03:24.000+04:00,2025-10-17T11:59:14.000+04:00,2025-10-17T12:33:35.000+04:00
3583,Christian MÜLLER,FINISHER,M0 H,MALE,DE,2025-10-17T00:59:59.000+04:00,2025-10-17T03:24:43.000+04:00,2025-10-17T03:39:42.000+04:00,2025-10-17T04:52:53.000+04:00,2025-10-17T05:46:13.000+04:00,2025-10-17T06:59:37.000+04:00,2025-10-17T07:19:32.000+04:00,2025-10-17T08:43:57.000+04:00,2025-10-17T09:55:59.000+04:00,2025-10-17T11:44:03.000+04:00,2025-10-17T12:12:19.000+04:00,2025-10-17T12:37:36.000+04:00
4109,Louise BENEVENT,FINISHER,SE F,FEMALE,FR,2025-10-17T00:59:59.000+04:00,2025-10-17T03:21:05.000+04:00,2025-10-17T03:38:15.000+04:00,2025-10-17T04:55:58.000+04:00,2025-10-17T05:45:13.000+04:00,2025-10-17T07:06:58.000+04:00,2025-10-17T07:30:51.000+04:00,2025-10-17T08:50:26.000+04:00,2025-10-17T10:01:24.000+04:00,2025-10-17T11:43:42.000+04:00,2025-10-17T12:12:37.000+04:00,2025-10-17T12:39:43.000+04:00
